Day,Occupant's Activity,Occupant's Zone,Zone Arrival Time (Minute),Zone Leaving Time (Minute),Stay Duration (Minute)
16,15,4,429,430,1
16,3,3,431,444,13
16,20,4,445,457,12
16,27,1,458,465,7
16,2,0,466,1439,973
17,2,0,0,23,23
17,27,1,24,26,2
17,1,0,27,32,5
17,15,4,33,34,1
17,11,1,35,104,69
17,15,4,105,106,1
17,11,1,107,604,497
17,15,4,605,606,1
17,17,1,607,610,3
17,4,3,611,626,15
17,1,0,627,634,7
17,25,2,635,658,23
17,15,4,659,677,18
17,17,1,678,770,92
17,15,4,771,787,16
17,18,2,788,928,140
17,15,4,929,930,1
17,6,3,931,937,6
17,1,0,938,944,6
17,12,2,945,1027,82
17,15,4,1028,1029,1
17,12,2,1030,1391,361
17,1,0,1392,1401,9
17,15,4,1402,1403,1
17,1,0,1404,1410,6
17,12,2,1411,1439,28
18,11,1,0,567,567
18,4,3,568,582,14
18,17,1,583,622,39
18,1,0,623,1253,630
18,12,2,1254,1261,7
18,11,1,1262,1439,177
19,11,1,0,223,223
19,15,4,224,228,4
19,11,1,229,555,326
19,15,4,556,557,1
19,4,3,558,569,11
19,18,2,570,586,16
19,17,1,587,638,51
19,15,4,639,653,14
19,27,1,654,657,3
19,1,0,658,1439,781
20,2,0,0,1439,1439
21,2,0,0,1439,1439
22,2,0,0,1439,1439
23,2,0,0,1296,1296
23,15,4,1297,1298,1
23,1,0,1299,1300,1
23,12,2,1301,1410,109
23,11,1,1411,1439,28
24,11,1,0,643,643
24,22,2,644,646,2
24,15,4,647,657,10
24,17,1,658,676,18
24,4,3,677,685,8
24,17,1,686,874,188
24,6,3,875,884,9
24,15,4,885,886,1
24,25,2,887,927,40
24,17,1,928,1231,303
24,8,3,1232,1235,3
24,1,0,1236,1239,3
24,15,4,1240,1241,1
24,12,2,1242,1397,155
24,11,1,1398,1439,41
25,11,1,0,372,372
25,15,4,373,374,1
25,17,1,375,625,250
25,15,4,626,627,1
25,27,1,628,641,13
25,14,4,642,663,21
25,27,1,664,666,2
25,1,0,667,1434,767
25,27,1,1435,1437,2
25,25,2,1438,1439,1
26,25,2,0,5,5
26,11,1,6,500,494
26,1,0,501,506,5
26,15,4,507,512,5
26,17,1,513,522,9
26,1,0,523,1271,748
26,12,2,1272,1312,40
26,27,1,1313,1314,1
26,12,2,1315,1391,76
26,15,4,1392,1393,1
26,11,1,1394,1439,45
27,11,1,0,494,494
27,15,4,495,496,1
27,4,3,497,503,6
27,17,1,504,528,24
27,27,1,529,532,3
27,1,0,533,1340,807
27,27,1,1341,1342,1
27,12,2,1343,1439,96
28,12,2,0,21,21
28,15,4,22,23,1
28,11,1,24,614,590
28,15,4,615,617,2
28,17,1,618,633,15
28,4,3,634,647,13
28,17,1,648,736,88
28,15,4,737,754,17
28,18,2,755,1074,319
28,15,4,1075,1093,18
28,1,0,1094,1101,7
28,12,2,1102,1103,1
28,27,1,1104,1106,2
28,1,0,1107,1439,332
29,2,0,0,1138,1138
29,1,0,1139,1145,6
29,17,1,1146,1223,77
29,15,4,1224,1225,1
29,8,3,1226,1239,13
29,12,2,1240,1335,95
29,15,4,1336,1337,1
29,12,2,1338,1351,13
29,15,4,1352,1365,13
29,12,2,1366,1439,73
