Day,Occupant's Activity,Occupant's Zone,Zone Arrival Time (Minute),Zone Leaving Time (Minute),Stay Duration (Minute)
18,10,3,103,138,35
18,12,2,139,156,17
18,21,4,157,178,21
18,11,1,179,303,124
18,15,4,304,306,2
18,11,1,307,496,189
18,15,4,497,521,24
18,27,1,522,532,10
18,2,0,533,1385,852
18,12,2,1386,1389,3
18,27,1,1390,1392,2
18,15,4,1393,1395,2
18,12,2,1396,1439,43
19,2,0,0,36,36
19,27,1,37,39,2
19,12,2,40,48,8
19,9,3,49,52,3
19,17,1,53,92,39
19,14,4,93,95,2
19,12,2,96,99,3
19,11,1,100,451,351
19,15,4,452,455,3
19,16,1,456,485,29
19,20,4,486,497,11
19,27,1,498,506,8
19,2,0,507,1120,613
19,27,1,1121,1126,5
19,22,2,1127,1153,26
19,1,0,1154,1157,3
19,7,3,1158,1160,2
19,15,4,1161,1179,18
19,22,2,1180,1205,25
19,7,3,1206,1209,3
19,12,2,1210,1218,8
19,8,3,1219,1234,15
19,21,4,1235,1239,4
19,2,0,1240,1439,199
20,16,1,0,74,74
20,10,3,75,93,18
20,14,4,94,103,9
20,1,0,104,108,4
20,12,2,109,114,5
20,15,4,115,116,1
20,11,1,117,427,310
20,15,4,428,429,1
20,16,1,430,480,50
20,20,4,481,505,24
20,27,1,506,511,5
20,2,0,512,1120,608
20,27,1,1121,1124,3
20,1,0,1125,1126,1
20,12,2,1127,1164,37
20,7,3,1165,1242,77
20,12,2,1243,1326,83
20,16,1,1327,1439,112
21,12,2,0,9,9
21,17,1,10,57,47
21,1,0,58,88,30
21,20,4,89,91,2
21,10,3,92,105,13
21,15,4,106,110,4
21,1,0,111,114,3
21,12,2,115,143,28
21,11,1,144,454,310
21,15,4,455,487,32
21,27,1,488,495,7
21,2,0,496,1104,608
21,27,1,1105,1107,2
21,1,0,1108,1111,3
21,22,2,1112,1145,33
21,1,0,1146,1150,4
21,7,3,1151,1243,92
21,12,2,1244,1300,56
21,12,2,1301,1322,21
21,15,4,1323,1327,4
21,22,2,1328,1395,67
21,1,0,1396,1400,4
21,12,2,1401,1439,38
22,12,2,0,42,42
22,16,1,43,53,10
22,1,0,54,66,12
22,14,4,67,108,41
22,10,3,109,132,23
22,21,4,133,136,3
22,1,0,137,139,2
22,15,4,140,141,1
22,16,1,142,410,268
22,15,4,411,424,13
22,16,1,425,660,235
22,18,2,661,692,31
22,15,4,693,695,2
22,1,0,696,698,2
22,12,2,699,759,60
22,1,0,760,780,20
22,12,2,781,884,103
22,27,1,885,893,8
22,1,0,894,1436,542
22,27,1,1437,1439,2
23,16,1,0,42,42
23,10,3,43,56,13
23,15,4,57,63,6
23,10,3,64,78,14
23,21,4,79,82,3
23,1,0,83,85,2
23,18,2,86,110,24
23,1,0,111,112,1
23,11,1,113,396,283
23,15,4,397,401,4
23,16,1,402,453,51
23,15,4,454,473,19
23,22,2,474,481,7
23,16,1,482,555,73
23,12,2,556,573,17
23,1,0,574,585,11
23,12,2,586,713,127
23,1,0,714,717,3
23,15,4,718,719,1
23,22,2,720,722,2
23,1,0,723,726,3
23,12,2,727,848,121
23,27,1,849,856,7
23,2,0,857,915,58
23,27,1,916,917,1
23,12,2,918,973,55
23,1,0,974,982,8
23,12,2,983,995,12
23,7,3,996,1016,20
23,12,2,1017,1026,9
23,7,3,1027,1054,27
23,22,2,1055,1060,5
23,7,3,1061,1071,10
23,12,2,1072,1091,19
23,7,3,1092,1111,19
23,12,2,1112,1128,16
23,10,3,1129,1137,8
23,12,2,1138,1154,16
23,9,3,1155,1157,2
23,12,2,1158,1181,23
23,10,3,1182,1190,8
23,15,4,1191,1193,2
23,1,0,1194,1195,1
23,22,2,1196,1287,91
23,15,4,1288,1315,27
23,12,2,1316,1332,16
23,10,3,1333,1353,20
23,12,2,1354,1364,10
23,21,4,1365,1370,5
23,12,2,1371,1379,8
23,11,1,1380,1439,59
24,17,1,0,7,7
24,15,4,8,31,23
24,10,3,32,34,2
24,18,2,35,53,18
24,14,4,54,79,25
24,10,3,80,117,37
24,21,4,118,119,1
24,11,1,120,250,130
24,15,4,251,253,2
24,11,1,254,469,215
24,14,4,470,494,24
24,27,1,495,507,12
24,2,0,508,1089,581
24,27,1,1090,1094,4
24,2,0,1095,1321,226
24,25,2,1322,1340,18
24,27,1,1341,1379,38
24,22,2,1380,1389,9
24,17,1,1390,1439,49
25,12,2,0,8,8
25,15,4,9,15,6
25,12,2,16,32,16
25,10,3,33,66,33
25,1,0,67,69,2
25,21,4,70,75,5
25,1,0,76,78,2
25,12,2,79,88,9
25,11,1,89,122,33
25,1,0,123,157,34
25,11,1,158,469,311
25,15,4,470,501,31
25,27,1,502,508,6
25,2,0,509,1151,642
25,27,1,1152,1154,2
25,1,0,1155,1159,4
25,25,2,1160,1183,23
25,7,3,1184,1229,45
25,12,2,1230,1286,56
25,27,1,1287,1293,6
25,2,0,1294,1407,113
25,27,1,1408,1410,2
25,12,2,1411,1439,28
26,12,2,0,35,35
26,14,4,36,47,11
26,12,2,48,85,37
26,10,3,86,104,18
26,1,0,105,111,6
26,10,3,112,128,16
26,1,0,129,132,3
26,21,4,133,137,4
26,12,2,138,156,18
26,1,0,157,158,1
26,11,1,159,387,228
26,15,4,388,391,3
26,16,1,392,501,109
26,15,4,502,533,31
26,27,1,534,540,6
26,2,0,541,1122,581
26,22,2,1123,1137,14
26,27,1,1138,1141,3
26,18,2,1142,1174,32
26,16,1,1175,1229,54
26,8,3,1230,1255,25
26,15,4,1256,1263,7
26,1,0,1264,1277,13
26,12,2,1278,1291,13
26,1,0,1292,1294,2
26,10,3,1295,1305,10
26,12,2,1306,1439,133
27,2,0,0,40,40
27,10,3,41,67,26
27,21,4,68,77,9
27,12,2,78,105,27
27,11,1,106,402,296
27,15,4,403,408,5
27,16,1,409,483,74
27,15,4,484,496,12
27,27,1,497,506,9
27,2,0,507,1055,548
27,27,1,1056,1061,5
27,2,0,1062,1439,377
28,11,1,0,331,331
28,15,4,332,363,31
28,27,1,364,370,6
28,2,0,371,937,566
28,27,1,938,941,3
28,15,4,942,948,6
28,27,1,949,963,14
28,1,0,964,986,22
28,17,1,987,996,9
28,22,2,997,1010,13
28,17,1,1011,1015,4
28,2,0,1016,1171,155
28,15,4,1172,1173,1
28,1,0,1174,1176,2
28,17,1,1177,1204,27
28,22,2,1205,1207,2
28,17,1,1208,1221,13
28,14,4,1222,1249,27
28,1,0,1250,1278,28
28,10,3,1279,1307,28
28,15,4,1308,1314,6
28,1,0,1315,1318,3
28,12,2,1319,1323,4
28,2,0,1324,1439,115
29,2,0,0,1439,1439
